adresseGPS,latitude,longitude
"14 RUE DE L ARCADE, Paris 75008",48.87165,2.3237
"10 RUE DU BOURG L ABBE, Paris 75003",48.86407,2.35189
"131 RUE SAINT DENIS, Paris 75001",48.86332,2.34974
"6 RUE DES HAUDRIETTES, Paris 75003",48.86164,2.3576
"97 RUE BEAUBOURG, Paris 75003",48.86457,2.35512
"27 RUE DU GENERAL FOY, Paris 75008",48.87908,2.31727
"266 RUE DU FAUBOURG SAINT HONORE, Paris 75008",48.8776,2.2994
"8 RUE DE VIENNE, Paris 75008",48.87667,2.32164
"13 BD DU TEMPLE, Paris 75003",48.8642,2.3592
"7 RUE CHARLOT, Paris 75003",48.86113,2.36045
"3 RUE DU PERCHE, Paris 75003",48.86059,2.36161
"39 RUE NOTRE DAME DE NAZARETH, Paris 75003",48.86746,2.3578
"67 RUE DE BRETAGNE, Paris 75003",48.86436,2.35995
"35 RUE COQUILLIERE, Paris 75001",48.86438,2.34111
"19 RUE DE SAINTONGE, Paris 75003",48.86186,2.36248
"62 RUE DE L ARBRE SEC, Paris 75001",48.86122,2.34261
"40 RUE DE LIEGE, Paris 75008",48.8793,2.32445
"70 RUE DE ROME, Paris 75008",48.88058,2.32143
"7 RUE NOTRE DAME DE NAZARETH, Paris 75003",48.867,2.361
"81 RUE D AMSTERDAM, Paris 75008",48.88197,2.32701
"206 RUE DE RIVOLI, Paris 75001",48.8644,2.33054
"45 RUE DE SAINTONGE, Paris 75003",48.86304,2.3639
"7 RUE FROISSART, Paris 75003",48.8615,2.36608
"5 AV BEAUCOUR, Paris 75008",48.87709,2.30207
"18 RUE AU MAIRE, Paris 75003",48.86467,2.35627
"41 RUE BEAUBOURG, Paris 75003",48.86225,2.35388
"15 RUE DE LA GRANDE TRUANDERIE, Paris 75001",48.86279,2.34895
"11B RUE DU COLISEE, Paris 75008",48.87064,2.30785
"149 RUE DU TEMPLE, Paris 75003",48.86398,2.35874
"11 RUE ARSENE HOUSSAYE, Paris 75008",48.87453,2.29937
"47 RUE NOTRE DAME DE NAZARETH, Paris 75003",48.86757,2.3571
"178 RUE DU TEMPLE, Paris 75003",48.86686,2.36269
"152 BD HAUSSMANN, Paris 75008",48.8753,2.31165
"66 RUE DE TURENNE, Paris 75003",48.85965,2.36466
"5 RUE JEAN JACQUES ROUSSEAU, Paris 75001",48.86229,2.33999
"251 RUE SAINT MARTIN, Paris 75003",48.86636,2.35384
"12 RUE PELOUZE, Paris 75008",48.88105,2.31787
"312 RUE SAINT HONORE, Paris 75001",48.86523,2.3315
"3 RUE DE CASTELLANE, Paris 75008",48.87216,2.32539
"249 RUE SAINT MARTIN, Paris 75003",48.86625,2.35378
"22 AV DE FRIEDLAND, Paris 75008",48.87452,2.30048
"48 RUE DE SAINTONGE, Paris 75003",48.86293,2.36394
"76 AV DES CHAMPS ELYSEES, Paris 75008",48.87118,2.30435
"3 RUE TREILHARD, Paris 75008",48.87692,2.31498
"50 RUE DU GENERAL FOY, Paris 75008",48.88029,2.31675
"21 RUE DE MOSCOU, Paris 75008",48.88099,2.32391
"5 RUE DE LABORDE, Paris 75008",48.87572,2.32259
"45 BD BEAUMARCHAIS, Paris 75003",48.85674,2.36801
"7 RUE JEAN GOUJON, Paris 75008",48.8665,2.30927
"5 RUE PERRAULT, Paris 75001",48.86036,2.34151
"15 RUE MESLAY, Paris 75003",48.86752,2.36081
"19 RUE JEAN JACQUES ROUSSEAU, Paris 75001",48.86272,2.34079
"47 RUE DE BRETAGNE, Paris 75003",48.86328,2.36149
"23 RUE DES GRAVILLIERS, Paris 75003",48.86377,2.35682
"37 BD DE SEBASTOPOL, Paris 75001",48.86102,2.34938
"155 RUE DU FAUBOURG SAINT HONORE, Paris 75008",48.87429,2.30683
"23 RUE DE SAINT PETERSBOURG, Paris 75008",48.88166,2.3254
"9 RUE DE LA CORDERIE, Paris 75003",48.86524,2.36269
"29 BD MALESHERBES, Paris 75008",48.87267,2.32114
"10 RUE DU PONT AUX CHOUX, Paris 75003",48.86119,2.36595
"225 RUE DU FAUBOURG SAINT HONORE, Paris 75008",48.8772,2.29977
"33 RUE REAUMUR, Paris 75003",48.86558,2.35505
"21 RUE DE NAPLES, Paris 75008",48.87962,2.31935
"26 RUE CAMBON, Paris 75001",48.86801,2.32677
"17 RUE DE CASTELLANE, Paris 75008",48.87242,2.32443
"10 RUE COQUILLIERE, Paris 75001",48.86357,2.34345
"117 BD MALESHERBES, Paris 75008",48.88048,2.31269
"22 RUE MURILLO, Paris 75008",48.87786,2.30682
"81 RUE DU TEMPLE, Paris 75003",48.86152,2.35637
"8 RUE BERTIN POIREE, Paris 75001",48.85849,2.34478
"94 RUE DE MIROMESNIL, Paris 75008",48.8794,2.31557
"83 RUE VIEILLE DU TEMPLE, Paris 75003",48.85925,2.35953
"62 RUE NOTRE DAME DE NAZARETH, Paris 75003",48.86771,2.35692
"27 RUE JEAN MERMOZ, Paris 75008",48.87201,2.3123
"5 RUE CHAPON, Paris 75003",48.86301,2.35726
"50 RUE CHARLOT, Paris 75003",48.86311,2.36291
